Code Structure;Nom Structure;Nom Court Structure;longitude;latitude
1244001;CIE D ARC DE GUERANDE;GUERANDE;47,32761° N;2,42652° O
1244002;ARCHERS DE ST HERBLAIN;ST HERBLAIN;47,26730° N;1,43967° O
1244003;ARCHERS THOUAREENS;THOUARE SUR LOIRE;47,26730° N;1,43967° O
1244004;CIE D'ARC OLIVIER DE CLISSON;CLISSON;47,08844° N;1,27783° O
1244005;ARCHERS DU GOTHA;SAINT GEREON;47,36904° N;1,19803° O
1244006;ASS. DU QUARTIER DE DOULON;NANTES DOULON;47,23303° N;1,50012° O
1244008;LES ARCHERS DU BIGNON;LE BIGNON;47,09685° N;1,49145° O
1244009;ARCHERS DE L'ERDRE;CARQUEFOU;47,29882° N;1,49264° O
1244010;CIE LES FLECHES DONGEOISES;DONGES;47,31835° N;2,07386° O
1244011;B.G.A.C.;BASSE GOULAINE;47,21510° N;1,46819° O
1244012;LES ARCHERS DU VAL DE SEVRE;MAISDON;47,09877° N;1,38482° O
1244013;ARC'HAYE;LA HAYE FOUASSIERE;47,15544° N;1,39956° O
1244015;A.S.C.E. TIR A L'ARC;LA BAULE;47,28254° N;2,39456° O
1244016;LES ARCHERS DES TOUCHES;LES TOUCHES;47,44220° N;1,43145° O
1244017;A.S.CORDEMAIS TIR ARC;CORDEMAIS;47,29168° N;1,87696° O
1244018;LA FLECHE RAGONNAISE;REZE;47,19028° N;1,54767° O
1244019;COMPAGNIE DES ARCHERS DU BRIVET;PONTCHATEAU;47,43647° N;2,08982° O
1244021;CIE DES ARCHERS DU PE;ST JEAN DE BOISEAU;47,19575° N;1,72447° O
1244022;CIE ARCHERS BOUGUENAIS;BOUGUENAIS;47,17811° N;1,62012° O
1244024;LES ARCHERS NAZAIRIENS;ST NAZAIRE;47,27432° N;2,21360° O
1244025;ETOILE SPORTIVE COUERONNAISE;COUERON;47,21209° N;1,72679° O
1244027;LES ARCHERS MONTOIRINS;MONTOIR DE BRETAGNE;47,32952° N;2,14933° O
1244028;LES ARCHERS PIRIACAIS;PIRIAC SUR MER;47,37933° N;2,54570° O
1244029;ARCHERS SUD ESTUAIRE;FROSSAY-SAINT VIAUD;47,25634° N;2,01889° O
1244031;ARC NATURE VALLETAIS;VALLET;47,16223° N;1,26664° O
1244035;ARCHERS DE LA MEE;CHATEAUBRIANT;47,72055° N;1,37617° O
1244036;LES FLECHES TURBALLAISES;LA TURBALLE;47,34633° N;2,50847° O
1244041;CIE ARCHERS DE VERTOU;VERTOU;47,16904° N;1,47299° O
1244042;ARCHERS D'ORVAULT;ORVAULT;47,27117° N;1,62368° O
1244044;ARCHERS NANTAIS;NANTES;47,23080° N;1,55664° O
1244046;LES ARCHERS PORNICAIS;PORNIC;47,11591° N;2,10259° O
